Region,Country,State,City,Month,Day,Year,AvgTemperature,,Date,,,,
North America,US,Alaska,Anchorage,1,1,1995,23.2,,1995-01-01,,,,
North America,US,Alaska,Anchorage,1,2,1995,27.6,,1995-01-02,,,,
North America,US,Alaska,Anchorage,1,3,1995,32,,1995-01-03,,,,
North America,US,Alaska,Anchorage,1,4,1995,29.3,,1995-01-04,,,,
North America,US,Alaska,Anchorage,1,5,1995,30.1,,1995-01-05,,,,
North America,US,Alaska,Anchorage,1,6,1995,26.8,,1995-01-06,,,,
North America,US,Alaska,Anchorage,1,7,1995,25.6,,1995-01-07,,,,
North America,US,Alaska,Anchorage,1,8,1995,18.1,,1995-01-08,,,,
North America,US,Alaska,Anchorage,1,9,1995,5,,1995-01-09,,,,
North America,US,Alaska,Anchorage,1,10,1995,5.5,,1995-01-10,,,,
North America,US,Alaska,Anchorage,1,11,1995,2.7,,1995-01-11,,,,
North America,US,Alaska,Anchorage,1,12,1995,2.5,,1995-01-12,,,,
North America,US,Alaska,Anchorage,1,13,1995,-2.6,,1995-01-13,,,,
North America,US,Alaska,Anchorage,1,14,1995,-6.7,,1995-01-14,,,,
North America,US,Alaska,Anchorage,1,15,1995,-3.7,,1995-01-15,,,,
North America,US,Alaska,Anchorage,1,16,1995,11.3,,1995-01-16,,,,
North America,US,Alaska,Anchorage,1,17,1995,21.6,,1995-01-17,,,,
North America,US,Alaska,Anchorage,1,18,1995,15.5,,1995-01-18,,,,
North America,US,Alaska,Anchorage,1,19,1995,14.9,,1995-01-19,,,,
North America,US,Alaska,Anchorage,1,20,1995,23.6,,1995-01-20,,,,
North America,US,Alaska,Anchorage,1,21,1995,29.3,,1995-01-21,,,,
North America,US,Alaska,Anchorage,1,22,1995,29.1,,1995-01-22,,,,
North America,US,Alaska,Anchorage,1,23,1995,25.2,,1995-01-23,,,,
North America,US,Alaska,Anchorage,1,24,1995,17.5,,1995-01-24,,,,
North America,US,Alaska,Anchorage,1,25,1995,2.4,,1995-01-25,,,,
North America,US,Alaska,Anchorage,1,26,1995,-4.4,,1995-01-26,,,,
North America,US,Alaska,Anchorage,1,27,1995,0.3,,1995-01-27,,,,
North America,US,Alaska,Anchorage,1,28,1995,17,,1995-01-28,,,,
North America,US,Alaska,Anchorage,1,29,1995,26.7,,1995-01-29,,,,
North America,US,Alaska,Anchorage,1,30,1995,28.8,,1995-01-30,,,,
North America,US,Alaska,Anchorage,1,31,1995,29.9,,1995-01-31,,,,
North America,US,Alaska,Anchorage,2,1,1995,22.6,,1995-02-01,,,,
North America,US,Alaska,Anchorage,2,2,1995,17.4,,1995-02-02,,,,
North America,US,Alaska,Anchorage,2,3,1995,21,,1995-02-03,,,,
North America,US,Alaska,Anchorage,2,4,1995,23.4,,1995-02-04,,,,
North America,US,Alaska,Anchorage,2,5,1995,33.8,,1995-02-05,,,,
North America,US,Alaska,Anchorage,2,6,1995,39.5,,1995-02-06,,,,
North America,US,Alaska,Anchorage,2,7,1995,32.9,,1995-02-07,,,,
North America,US,Alaska,Anchorage,2,8,1995,34.2,,1995-02-08,,,,
North America,US,Alaska,Anchorage,2,9,1995,31.6,,1995-02-09,,,,
North America,US,Alaska,Anchorage,2,10,1995,32.8,,1995-02-10,,,,
North America,US,Alaska,Anchorage,2,11,1995,30.9,,1995-02-11,,,,
North America,US,Alaska,Anchorage,2,12,1995,28.3,,1995-02-12,,,,
North America,US,Alaska,Anchorage,2,13,1995,29.8,,1995-02-13,,,,
North America,US,Alaska,Anchorage,2,14,1995,27,,1995-02-14,,,,
North America,US,Alaska,Anchorage,2,15,1995,24.1,,1995-02-15,,,,
North America,US,Alaska,Anchorage,2,16,1995,14.4,,1995-02-16,,,,
North America,US,Alaska,Anchorage,2,17,1995,11.6,,1995-02-17,,,,
North America,US,Alaska,Anchorage,2,18,1995,11.6,,1995-02-18,,,,
North America,US,Alaska,Anchorage,2,19,1995,7.6,,1995-02-19,,,,
North America,US,Alaska,Anchorage,2,20,1995,9.6,,1995-02-20,,,,
North America,US,Alaska,Anchorage,2,21,1995,18,,1995-02-21,,,,
North America,US,Alaska,Anchorage,2,22,1995,13.6,,1995-02-22,,,,
North America,US,Alaska,Anchorage,2,23,1995,7.2,,1995-02-23,,,,
North America,US,Alaska,Anchorage,2,24,1995,4.4,,1995-02-24,,,,
North America,US,Alaska,Anchorage,2,25,1995,4.5,,1995-02-25,,,,
North America,US,Alaska,Anchorage,2,26,1995,15.3,,1995-02-26,,,,
North America,US,Alaska,Anchorage,2,27,1995,24.3,,1995-02-27,,,,
North America,US,Alaska,Anchorage,2,28,1995,23.5,,1995-02-28,,,,
North America,US,Alaska,Anchorage,3,1,1995,23.2,,1995-03-01,,,,
North America,US,Alaska,Anchorage,3,2,1995,26.4,,1995-03-02,,,,
North America,US,Alaska,Anchorage,3,3,1995,19.1,,1995-03-03,,,,
North America,US,Alaska,Anchorage,3,4,1995,18.3,,1995-03-04,,,,
North America,US,Alaska,Anchorage,3,5,1995,17.7,,1995-03-05,,,,
North America,US,Alaska,Anchorage,3,6,1995,24.4,,1995-03-06,,,,
North America,US,Alaska,Anchorage,3,7,1995,17.1,,1995-03-07,,,,
North America,US,Alaska,Anchorage,3,8,1995,19.8,,1995-03-08,,,,
North America,US,Alaska,Anchorage,3,9,1995,20,,1995-03-09,,,,
North America,US,Alaska,Anchorage,3,10,1995,18.1,,1995-03-10,,,,
North America,US,Alaska,Anchorage,3,11,1995,13.5,,1995-03-11,,,,
North America,US,Alaska,Anchorage,3,12,1995,8.2,,1995-03-12,,,,
North America,US,Alaska,Anchorage,3,13,1995,4.4,,1995-03-13,,,,
North America,US,Alaska,Anchorage,3,14,1995,1.8,,1995-03-14,,,,
North America,US,Alaska,Anchorage,3,15,1995,-3.1,,1995-03-15,,,,
North America,US,Alaska,Anchorage,3,16,1995,4.6,,1995-03-16,,,,
North America,US,Alaska,Anchorage,3,17,1995,18.2,,1995-03-17,,,,
North America,US,Alaska,Anchorage,3,18,1995,19.5,,1995-03-18,,,,
North America,US,Alaska,Anchorage,3,19,1995,22.5,,1995-03-19,,,,
North America,US,Alaska,Anchorage,3,20,1995,21.9,,1995-03-20,,,,
North America,US,Alaska,Anchorage,3,21,1995,13.8,,1995-03-21,,,,
North America,US,Alaska,Anchorage,3,22,1995,11.3,,1995-03-22,,,,
North America,US,Alaska,Anchorage,3,23,1995,10.7,,1995-03-23,,,,
North America,US,Alaska,Anchorage,3,24,1995,9.8,,1995-03-24,,,,
North America,US,Alaska,Anchorage,3,25,1995,13.2,,1995-03-25,,,,
North America,US,Alaska,Anchorage,3,26,1995,21.4,,1995-03-26,,,,
North America,US,Alaska,Anchorage,3,27,1995,26.7,,1995-03-27,,,,
North America,US,Alaska,Anchorage,3,28,1995,34.8,,1995-03-28,,,,
North America,US,Alaska,Anchorage,3,29,1995,38.7,,1995-03-29,,,,
North America,US,Alaska,Anchorage,3,30,1995,37.8,,1995-03-30,,,,
North America,US,Alaska,Anchorage,3,31,1995,40.5,,1995-03-31,,,,
North America,US,Alaska,Anchorage,4,1,1995,39.6,,1995-04-01,,,,
North America,US,Alaska,Anchorage,4,2,1995,37.5,,1995-04-02,,,,
North America,US,Alaska,Anchorage,4,3,1995,36.1,,1995-04-03,,,,
North America,US,Alaska,Anchorage,4,4,1995,39.1,,1995-04-04,,,,
North America,US,Alaska,Anchorage,4,5,1995,37.9,,1995-04-05,,,,
North America,US,Alaska,Anchorage,4,6,1995,36.3,,1995-04-06,,,,
North America,US,Alaska,Anchorage,4,7,1995,36.3,,1995-04-07,,,,
North America,US,Alaska,Anchorage,4,8,1995,37,,1995-04-08,,,,
North America,US,Alaska,Anchorage,4,9,1995,40.5,,1995-04-09,,,,
North America,US,Alaska,Anchorage,4,10,1995,36.7,,1995-04-10,,,,
North America,US,Alaska,Anchorage,4,11,1995,38.8,,1995-04-11,,,,
North America,US,Alaska,Anchorage,4,12,1995,38.9,,1995-04-12,,,,
North America,US,Alaska,Anchorage,4,13,1995,38.8,,1995-04-13,,,,
North America,US,Alaska,Anchorage,4,14,1995,39.5,,1995-04-14,,,,
North America,US,Alaska,Anchorage,4,15,1995,40.6,,1995-04-15,,,,
North America,US,Alaska,Anchorage,4,16,1995,37.9,,1995-04-16,,,,
North America,US,Alaska,Anchorage,4,17,1995,40.8,,1995-04-17,,,,
North America,US,Alaska,Anchorage,4,18,1995,39.4,,1995-04-18,,,,
North America,US,Alaska,Anchorage,4,19,1995,37.8,,1995-04-19,,,,
North America,US,Alaska,Anchorage,4,20,1995,40.8,,1995-04-20,,,,
North America,US,Alaska,Anchorage,4,21,1995,39.9,,1995-04-21,,,,
North America,US,Alaska,Anchorage,4,22,1995,41.3,,1995-04-22,,,,
North America,US,Alaska,Anchorage,4,23,1995,43,,1995-04-23,,,,
North America,US,Alaska,Anchorage,4,24,1995,41.3,,1995-04-24,,,,
North America,US,Alaska,Anchorage,4,25,1995,44.5,,1995-04-25,,,,
North America,US,Alaska,Anchorage,4,26,1995,43.4,,1995-04-26,,,,
North America,US,Alaska,Anchorage,4,27,1995,41.8,,1995-04-27,,,,
North America,US,Alaska,Anchorage,4,28,1995,41.9,,1995-04-28,,,,
North America,US,Alaska,Anchorage,4,29,1995,46,,1995-04-29,,,,
North America,US,Alaska,Anchorage,4,30,1995,47.4,,1995-04-30,,,,
North America,US,Alaska,Anchorage,5,1,1995,50.3,,1995-05-01,,,,
North America,US,Alaska,Anchorage,5,2,1995,51.7,,1995-05-02,,,,
North America,US,Alaska,Anchorage,5,3,1995,51.6,,1995-05-03,,,,
North America,US,Alaska,Anchorage,5,4,1995,47.1,,1995-05-04,,,,
North America,US,Alaska,Anchorage,5,5,1995,42.7,,1995-05-05,,,,
North America,US,Alaska,Anchorage,5,6,1995,43.1,,1995-05-06,,,,
North America,US,Alaska,Anchorage,5,7,1995,43.2,,1995-05-07,,,,
North America,US,Alaska,Anchorage,5,8,1995,47.5,,1995-05-08,,,,
North America,US,Alaska,Anchorage,5,9,1995,51.1,,1995-05-09,,,,
North America,US,Alaska,Anchorage,5,10,1995,57.8,,1995-05-10,,,,
North America,US,Alaska,Anchorage,5,11,1995,50.6,,1995-05-11,,,,
North America,US,Alaska,Anchorage,5,12,1995,49.1,,1995-05-12,,,,
North America,US,Alaska,Anchorage,5,13,1995,51.3,,1995-05-13,,,,
North America,US,Alaska,Anchorage,5,14,1995,45.3,,1995-05-14,,,,
North America,US,Alaska,Anchorage,5,15,1995,48.4,,1995-05-15,,,,
North America,US,Alaska,Anchorage,5,16,1995,46.5,,1995-05-16,,,,
North America,US,Alaska,Anchorage,5,17,1995,47.2,,1995-05-17,,,,
North America,US,Alaska,Anchorage,5,18,1995,47.6,,1995-05-18,,,,
North America,US,Alaska,Anchorage,5,19,1995,48.7,,1995-05-19,,,,
North America,US,Alaska,Anchorage,5,20,1995,50.9,,1995-05-20,,,,
North America,US,Alaska,Anchorage,5,21,1995,50.8,,1995-05-21,,,,
North America,US,Alaska,Anchorage,5,22,1995,50.2,,1995-05-22,,,,
North America,US,Alaska,Anchorage,5,23,1995,51,,1995-05-23,,,,
North America,US,Alaska,Anchorage,5,24,1995,46.1,,1995-05-24,,,,
North America,US,Alaska,Anchorage,5,25,1995,47.8,,1995-05-25,,,,
North America,US,Alaska,Anchorage,5,26,1995,49.3,,1995-05-26,,,,
North America,US,Alaska,Anchorage,5,27,1995,48,,1995-05-27,,,,
North America,US,Alaska,Anchorage,5,28,1995,48.3,,1995-05-28,,,,
North America,US,Alaska,Anchorage,5,29,1995,47.7,,1995-05-29,,,,
North America,US,Alaska,Anchorage,5,30,1995,47.3,,1995-05-30,,,,
North America,US,Alaska,Anchorage,5,31,1995,49.2,,1995-05-31,,,,
North America,US,Alaska,Anchorage,6,1,1995,50.6,,1995-06-01,,,,
North America,US,Alaska,Anchorage,6,2,1995,49.6,,1995-06-02,,,,
North America,US,Alaska,Anchorage,6,3,1995,52,,1995-06-03,,,,
North America,US,Alaska,Anchorage,6,4,1995,55.3,,1995-06-04,,,,
North America,US,Alaska,Anchorage,6,5,1995,52.8,,1995-06-05,,,,
North America,US,Alaska,Anchorage,6,6,1995,50.8,,1995-06-06,,,,
North America,US,Alaska,Anchorage,6,7,1995,50.3,,1995-06-07,,,,
North America,US,Alaska,Anchorage,6,8,1995,51.5,,1995-06-08,,,,
North America,US,Alaska,Anchorage,6,9,1995,53.8,,1995-06-09,,,,
North America,US,Alaska,Anchorage,6,10,1995,63,,1995-06-10,,,,
North America,US,Alaska,Anchorage,6,11,1995,65.2,,1995-06-11,,,,
North America,US,Alaska,Anchorage,6,12,1995,65.8,,1995-06-12,,,,
North America,US,Alaska,Anchorage,6,13,1995,57.3,,1995-06-13,,,,
North America,US,Alaska,Anchorage,6,14,1995,54.5,,1995-06-14,,,,
North America,US,Alaska,Anchorage,6,15,1995,55.2,,1995-06-15,,,,
North America,US,Alaska,Anchorage,6,16,1995,54.5,,1995-06-16,,,,
North America,US,Alaska,Anchorage,6,17,1995,54.7,,1995-06-17,,,,
North America,US,Alaska,Anchorage,6,18,1995,58.6,,1995-06-18,,,,
North America,US,Alaska,Anchorage,6,19,1995,60.8,,1995-06-19,,,,
North America,US,Alaska,Anchorage,6,20,1995,56.3,,1995-06-20,,,,
North America,US,Alaska,Anchorage,6,21,1995,55.3,,1995-06-21,,,,
North America,US,Alaska,Anchorage,6,22,1995,59.5,,1995-06-22,,,,
North America,US,Alaska,Anchorage,6,23,1995,55.8,,1995-06-23,,,,
North America,US,Alaska,Anchorage,6,24,1995,50.3,,1995-06-24,,,,
North America,US,Alaska,Anchorage,6,25,1995,54.5,,1995-06-25,,,,
North America,US,Alaska,Anchorage,6,26,1995,56.2,,1995-06-26,,,,
North America,US,Alaska,Anchorage,6,27,1995,53.3,,1995-06-27,,,,
North America,US,Alaska,Anchorage,6,28,1995,58.3,,1995-06-28,,,,
North America,US,Alaska,Anchorage,6,29,1995,59.4,,1995-06-29,,,,
North America,US,Alaska,Anchorage,6,30,1995,58,,1995-06-30,,,,
North America,US,Alaska,Anchorage,7,1,1995,54.8,,1995-07-01,,,,
North America,US,Alaska,Anchorage,7,2,1995,56.7,,1995-07-02,,,,
North America,US,Alaska,Anchorage,7,3,1995,58.5,,1995-07-03,,,,
North America,US,Alaska,Anchorage,7,4,1995,57.7,,1995-07-04,,,,
North America,US,Alaska,Anchorage,7,5,1995,63,,1995-07-05,,,,
North America,US,Alaska,Anchorage,7,6,1995,62.4,,1995-07-06,,,,
North America,US,Alaska,Anchorage,7,7,1995,60.8,,1995-07-07,,,,
North America,US,Alaska,Anchorage,7,8,1995,56.4,,1995-07-08,,,,
North America,US,Alaska,Anchorage,7,9,1995,58.5,,1995-07-09,,,,
North America,US,Alaska,Anchorage,7,10,1995,61.6,,1995-07-10,,,,
North America,US,Alaska,Anchorage,7,11,1995,58.3,,1995-07-11,,,,
North America,US,Alaska,Anchorage,7,12,1995,60.6,,1995-07-12,,,,
North America,US,Alaska,Anchorage,7,13,1995,61.3,,1995-07-13,,,,
North America,US,Alaska,Anchorage,7,14,1995,57.4,,1995-07-14,,,,
North America,US,Alaska,Anchorage,7,15,1995,56.5,,1995-07-15,,,,
North America,US,Alaska,Anchorage,7,16,1995,59.2,,1995-07-16,,,,
North America,US,Alaska,Anchorage,7,17,1995,60,,1995-07-17,,,,
