Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,The Netherlands,,Amsterdam,1,1,1995,37.6
Europe,The Netherlands,,Amsterdam,1,2,1995,38.6
Europe,The Netherlands,,Amsterdam,1,3,1995,33.3
Europe,The Netherlands,,Amsterdam,1,4,1995,29.2
Europe,The Netherlands,,Amsterdam,1,5,1995,25.8
Europe,The Netherlands,,Amsterdam,1,6,1995,27.1
Europe,The Netherlands,,Amsterdam,1,7,1995,30.4
Europe,The Netherlands,,Amsterdam,1,8,1995,33.6
Europe,The Netherlands,,Amsterdam,1,9,1995,42.4
Europe,The Netherlands,,Amsterdam,1,10,1995,41.9
Europe,The Netherlands,,Amsterdam,1,11,1995,38.7
Europe,The Netherlands,,Amsterdam,1,12,1995,38.7
Europe,The Netherlands,,Amsterdam,1,13,1995,39
Europe,The Netherlands,,Amsterdam,1,14,1995,43.7
Europe,The Netherlands,,Amsterdam,1,15,1995,46.3
Europe,The Netherlands,,Amsterdam,1,16,1995,40.5
Europe,The Netherlands,,Amsterdam,1,17,1995,41.5
Europe,The Netherlands,,Amsterdam,1,18,1995,43.6
Europe,The Netherlands,,Amsterdam,1,19,1995,40.3
Europe,The Netherlands,,Amsterdam,1,20,1995,46.4
Europe,The Netherlands,,Amsterdam,1,21,1995,42.2
Europe,The Netherlands,,Amsterdam,1,22,1995,44.1
Europe,The Netherlands,,Amsterdam,1,23,1995,43.9
Europe,The Netherlands,,Amsterdam,1,24,1995,43.4
Europe,The Netherlands,,Amsterdam,1,25,1995,41
Europe,The Netherlands,,Amsterdam,1,26,1995,46.5
Europe,The Netherlands,,Amsterdam,1,27,1995,37.4
Europe,The Netherlands,,Amsterdam,1,28,1995,47.2
Europe,The Netherlands,,Amsterdam,1,29,1995,46
Europe,The Netherlands,,Amsterdam,1,30,1995,38.1
Europe,The Netherlands,,Amsterdam,1,31,1995,38.5
Europe,The Netherlands,,Amsterdam,2,1,1995,49.6
Europe,The Netherlands,,Amsterdam,2,2,1995,42.2
Europe,The Netherlands,,Amsterdam,2,3,1995,42.6
Europe,The Netherlands,,Amsterdam,2,4,1995,46.7
Europe,The Netherlands,,Amsterdam,2,5,1995,43.7
Europe,The Netherlands,,Amsterdam,2,6,1995,48.6
Europe,The Netherlands,,Amsterdam,2,7,1995,47.6
Europe,The Netherlands,,Amsterdam,2,8,1995,39.9
Europe,The Netherlands,,Amsterdam,2,9,1995,35.5
Europe,The Netherlands,,Amsterdam,2,10,1995,36.4
Europe,The Netherlands,,Amsterdam,2,11,1995,47.1
Europe,The Netherlands,,Amsterdam,2,12,1995,47.9
Europe,The Netherlands,,Amsterdam,2,13,1995,46.3
Europe,The Netherlands,,Amsterdam,2,14,1995,46.7
Europe,The Netherlands,,Amsterdam,2,15,1995,49.3
Europe,The Netherlands,,Amsterdam,2,16,1995,47.5
Europe,The Netherlands,,Amsterdam,2,17,1995,45.3
Europe,The Netherlands,,Amsterdam,2,18,1995,43.1
Europe,The Netherlands,,Amsterdam,2,19,1995,46.5
Europe,The Netherlands,,Amsterdam,2,20,1995,47.1
Europe,The Netherlands,,Amsterdam,2,21,1995,46.5
Europe,The Netherlands,,Amsterdam,2,22,1995,43.6
Europe,The Netherlands,,Amsterdam,2,23,1995,42.3
Europe,The Netherlands,,Amsterdam,2,24,1995,39.9
Europe,The Netherlands,,Amsterdam,2,25,1995,39.8
Europe,The Netherlands,,Amsterdam,2,26,1995,38.2
Europe,The Netherlands,,Amsterdam,2,27,1995,40.9
Europe,The Netherlands,,Amsterdam,2,28,1995,49.6
Europe,The Netherlands,,Amsterdam,3,1,1995,47.3
Europe,The Netherlands,,Amsterdam,3,2,1995,40
Europe,The Netherlands,,Amsterdam,3,3,1995,38.3
Europe,The Netherlands,,Amsterdam,3,4,1995,36.3
Europe,The Netherlands,,Amsterdam,3,5,1995,37.4
Europe,The Netherlands,,Amsterdam,3,6,1995,40.3
Europe,The Netherlands,,Amsterdam,3,7,1995,41.1
Europe,The Netherlands,,Amsterdam,3,8,1995,40.5
Europe,The Netherlands,,Amsterdam,3,9,1995,41.6
Europe,The Netherlands,,Amsterdam,3,10,1995,43.2
Europe,The Netherlands,,Amsterdam,3,11,1995,46.2
Europe,The Netherlands,,Amsterdam,3,12,1995,45.8
Europe,The Netherlands,,Amsterdam,3,13,1995,44.9
Europe,The Netherlands,,Amsterdam,3,14,1995,39.4
Europe,The Netherlands,,Amsterdam,3,15,1995,40.5
Europe,The Netherlands,,Amsterdam,3,16,1995,42
Europe,The Netherlands,,Amsterdam,3,17,1995,46.5
Europe,The Netherlands,,Amsterdam,3,18,1995,46.2
Europe,The Netherlands,,Amsterdam,3,19,1995,43.3
Europe,The Netherlands,,Amsterdam,3,20,1995,41.7
Europe,The Netherlands,,Amsterdam,3,21,1995,40.7
Europe,The Netherlands,,Amsterdam,3,22,1995,39.6
Europe,The Netherlands,,Amsterdam,3,23,1995,44.2
Europe,The Netherlands,,Amsterdam,3,24,1995,47.8
Europe,The Netherlands,,Amsterdam,3,25,1995,45.9
Europe,The Netherlands,,Amsterdam,3,26,1995,47.3
Europe,The Netherlands,,Amsterdam,3,27,1995,39.8
Europe,The Netherlands,,Amsterdam,3,28,1995,35.2
Europe,The Netherlands,,Amsterdam,3,29,1995,38.5
Europe,The Netherlands,,Amsterdam,3,30,1995,40.5
Europe,The Netherlands,,Amsterdam,3,31,1995,47
Europe,The Netherlands,,Amsterdam,4,1,1995,52.4
Europe,The Netherlands,,Amsterdam,4,2,1995,51.6
Europe,The Netherlands,,Amsterdam,4,3,1995,48.5
Europe,The Netherlands,,Amsterdam,4,4,1995,46.5
Europe,The Netherlands,,Amsterdam,4,5,1995,46.9
Europe,The Netherlands,,Amsterdam,4,6,1995,49.5
Europe,The Netherlands,,Amsterdam,4,7,1995,49.3
Europe,The Netherlands,,Amsterdam,4,8,1995,43.2
Europe,The Netherlands,,Amsterdam,4,9,1995,43
Europe,The Netherlands,,Amsterdam,4,10,1995,46.3
Europe,The Netherlands,,Amsterdam,4,11,1995,50.1
Europe,The Netherlands,,Amsterdam,4,12,1995,49.2
Europe,The Netherlands,,Amsterdam,4,13,1995,47.7
Europe,The Netherlands,,Amsterdam,4,14,1995,47.5
Europe,The Netherlands,,Amsterdam,4,15,1995,45.6
Europe,The Netherlands,,Amsterdam,4,16,1995,45.1
Europe,The Netherlands,,Amsterdam,4,17,1995,47.3
Europe,The Netherlands,,Amsterdam,4,18,1995,45
Europe,The Netherlands,,Amsterdam,4,19,1995,41.8
Europe,The Netherlands,,Amsterdam,4,20,1995,40.1
Europe,The Netherlands,,Amsterdam,4,21,1995,44.4
Europe,The Netherlands,,Amsterdam,4,22,1995,51.7
Europe,The Netherlands,,Amsterdam,4,23,1995,51.3
Europe,The Netherlands,,Amsterdam,4,24,1995,60.6
Europe,The Netherlands,,Amsterdam,4,25,1995,60.8
Europe,The Netherlands,,Amsterdam,4,26,1995,56.2
Europe,The Netherlands,,Amsterdam,4,27,1995,46.6
Europe,The Netherlands,,Amsterdam,4,28,1995,44.7
Europe,The Netherlands,,Amsterdam,4,29,1995,47.6
Europe,The Netherlands,,Amsterdam,4,30,1995,50.2
Europe,The Netherlands,,Amsterdam,5,1,1995,53.2
Europe,The Netherlands,,Amsterdam,5,2,1995,59.4
Europe,The Netherlands,,Amsterdam,5,3,1995,61.2
Europe,The Netherlands,,Amsterdam,5,4,1995,63
Europe,The Netherlands,,Amsterdam,5,5,1995,63.9
Europe,The Netherlands,,Amsterdam,5,6,1995,61.3
Europe,The Netherlands,,Amsterdam,5,7,1995,62.5
Europe,The Netherlands,,Amsterdam,5,8,1995,54
Europe,The Netherlands,,Amsterdam,5,9,1995,49.1
Europe,The Netherlands,,Amsterdam,5,10,1995,50
Europe,The Netherlands,,Amsterdam,5,11,1995,46.9
Europe,The Netherlands,,Amsterdam,5,12,1995,47.5
Europe,The Netherlands,,Amsterdam,5,13,1995,47.4
Europe,The Netherlands,,Amsterdam,5,14,1995,46.2
Europe,The Netherlands,,Amsterdam,5,15,1995,49.7
Europe,The Netherlands,,Amsterdam,5,16,1995,51.2
Europe,The Netherlands,,Amsterdam,5,17,1995,50.1
Europe,The Netherlands,,Amsterdam,5,18,1995,46.8
Europe,The Netherlands,,Amsterdam,5,19,1995,47.8
Europe,The Netherlands,,Amsterdam,5,20,1995,50.3
Europe,The Netherlands,,Amsterdam,5,21,1995,48.2
Europe,The Netherlands,,Amsterdam,5,22,1995,51.6
Europe,The Netherlands,,Amsterdam,5,23,1995,60
Europe,The Netherlands,,Amsterdam,5,24,1995,62.8
Europe,The Netherlands,,Amsterdam,5,25,1995,60.4
Europe,The Netherlands,,Amsterdam,5,26,1995,61.5
Europe,The Netherlands,,Amsterdam,5,27,1995,61
Europe,The Netherlands,,Amsterdam,5,28,1995,63.4
Europe,The Netherlands,,Amsterdam,5,29,1995,59.9
Europe,The Netherlands,,Amsterdam,5,30,1995,56.7
Europe,The Netherlands,,Amsterdam,5,31,1995,56.6
Europe,The Netherlands,,Amsterdam,6,1,1995,53.3
Europe,The Netherlands,,Amsterdam,6,2,1995,55.6
Europe,The Netherlands,,Amsterdam,6,3,1995,58
Europe,The Netherlands,,Amsterdam,6,4,1995,57.3
Europe,The Netherlands,,Amsterdam,6,5,1995,55
Europe,The Netherlands,,Amsterdam,6,6,1995,54.4
Europe,The Netherlands,,Amsterdam,6,7,1995,53.8
Europe,The Netherlands,,Amsterdam,6,8,1995,51.5
Europe,The Netherlands,,Amsterdam,6,9,1995,50.7
Europe,The Netherlands,,Amsterdam,6,10,1995,53
Europe,The Netherlands,,Amsterdam,6,11,1995,53.2
Europe,The Netherlands,,Amsterdam,6,12,1995,52.3
Europe,The Netherlands,,Amsterdam,6,13,1995,53.8
Europe,The Netherlands,,Amsterdam,6,14,1995,52.6
Europe,The Netherlands,,Amsterdam,6,15,1995,51.6
Europe,The Netherlands,,Amsterdam,6,16,1995,51.8
Europe,The Netherlands,,Amsterdam,6,17,1995,55.7
Europe,The Netherlands,,Amsterdam,6,18,1995,58.9
Europe,The Netherlands,,Amsterdam,6,19,1995,60.3
Europe,The Netherlands,,Amsterdam,6,20,1995,65.1
Europe,The Netherlands,,Amsterdam,6,21,1995,58
Europe,The Netherlands,,Amsterdam,6,22,1995,54.3
Europe,The Netherlands,,Amsterdam,6,23,1995,57.6
Europe,The Netherlands,,Amsterdam,6,24,1995,60.4
Europe,The Netherlands,,Amsterdam,6,25,1995,63.1
Europe,The Netherlands,,Amsterdam,6,26,1995,65.1
Europe,The Netherlands,,Amsterdam,6,27,1995,70.5
Europe,The Netherlands,,Amsterdam,6,28,1995,72.1
Europe,The Netherlands,,Amsterdam,6,29,1995,65.2
Europe,The Netherlands,,Amsterdam,6,30,1995,66.2
Europe,The Netherlands,,Amsterdam,7,1,1995,62.1
Europe,The Netherlands,,Amsterdam,7,2,1995,64.2
Europe,The Netherlands,,Amsterdam,7,3,1995,56.2
Europe,The Netherlands,,Amsterdam,7,4,1995,57.7
Europe,The Netherlands,,Amsterdam,7,5,1995,60.9
Europe,The Netherlands,,Amsterdam,7,6,1995,63.2
Europe,The Netherlands,,Amsterdam,7,7,1995,63.4
Europe,The Netherlands,,Amsterdam,7,8,1995,67.6
Europe,The Netherlands,,Amsterdam,7,9,1995,69.1
Europe,The Netherlands,,Amsterdam,7,10,1995,75.1
Europe,The Netherlands,,Amsterdam,7,11,1995,74.6
Europe,The Netherlands,,Amsterdam,7,12,1995,68.2
Europe,The Netherlands,,Amsterdam,7,13,1995,71.2
Europe,The Netherlands,,Amsterdam,7,14,1995,68.5
Europe,The Netherlands,,Amsterdam,7,15,1995,65.8
Europe,The Netherlands,,Amsterdam,7,16,1995,64.1
Europe,The Netherlands,,Amsterdam,7,17,1995,64.3
Europe,The Netherlands,,Amsterdam,7,18,1995,63.9
Europe,The Netherlands,,Amsterdam,7,19,1995,67.3
Europe,The Netherlands,,Amsterdam,7,20,1995,70.2
Europe,The Netherlands,,Amsterdam,7,21,1995,71.6
Europe,The Netherlands,,Amsterdam,7,22,1995,62.3
Europe,The Netherlands,,Amsterdam,7,23,1995,61.5
Europe,The Netherlands,,Amsterdam,7,24,1995,64.8
Europe,The Netherlands,,Amsterdam,7,25,1995,66.2
Europe,The Netherlands,,Amsterdam,7,26,1995,72.9
Europe,The Netherlands,,Amsterdam,7,27,1995,67.9
Europe,The Netherlands,,Amsterdam,7,28,1995,67.8
Europe,The Netherlands,,Amsterdam,7,29,1995,69.6
Europe,The Netherlands,,Amsterdam,7,30,1995,74.3
Europe,The Netherlands,,Amsterdam,7,31,1995,78.1
Europe,The Netherlands,,Amsterdam,8,1,1995,77.8
Europe,The Netherlands,,Amsterdam,8,2,1995,75.3
Europe,The Netherlands,,Amsterdam,8,3,1995,72.6
Europe,The Netherlands,,Amsterdam,8,4,1995,65.7
Europe,The Netherlands,,Amsterdam,8,5,1995,66.5
Europe,The Netherlands,,Amsterdam,8,6,1995,69.7
Europe,The Netherlands,,Amsterdam,8,7,1995,64.4
Europe,The Netherlands,,Amsterdam,8,8,1995,63.4
Europe,The Netherlands,,Amsterdam,8,9,1995,65.7
Europe,The Netherlands,,Amsterdam,8,10,1995,69.6
Europe,The Netherlands,,Amsterdam,8,11,1995,73.5
Europe,The Netherlands,,Amsterdam,8,12,1995,71.7
Europe,The Netherlands,,Amsterdam,8,13,1995,67
Europe,The Netherlands,,Amsterdam,8,14,1995,62.8
Europe,The Netherlands,,Amsterdam,8,15,1995,63.5
Europe,The Netherlands,,Amsterdam,8,16,1995,65.9
Europe,The Netherlands,,Amsterdam,8,17,1995,71.4
Europe,The Netherlands,,Amsterdam,8,18,1995,73.5
Europe,The Netherlands,,Amsterdam,8,19,1995,74.7
Europe,The Netherlands,,Amsterdam,8,20,1995,70.6
Europe,The Netherlands,,Amsterdam,8,21,1995,68.7
Europe,The Netherlands,,Amsterdam,8,22,1995,72
Europe,The Netherlands,,Amsterdam,8,23,1995,71
Europe,The Netherlands,,Amsterdam,8,24,1995,67.3
Europe,The Netherlands,,Amsterdam,8,25,1995,67.1
Europe,The Netherlands,,Amsterdam,8,26,1995,62.9
Europe,The Netherlands,,Amsterdam,8,27,1995,58.9
Europe,The Netherlands,,Amsterdam,8,28,1995,58.4
Europe,The Netherlands,,Amsterdam,8,29,1995,57.1
Europe,The Netherlands,,Amsterdam,8,30,1995,58.7
Europe,The Netherlands,,Amsterdam,8,31,1995,59.4
Europe,The Netherlands,,Amsterdam,9,1,1995,60
Europe,The Netherlands,,Amsterdam,9,2,1995,61.2
Europe,The Netherlands,,Amsterdam,9,3,1995,56.6
Europe,The Netherlands,,Amsterdam,9,4,1995,58.7
Europe,The Netherlands,,Amsterdam,9,5,1995,58.8
Europe,The Netherlands,,Amsterdam,9,6,1995,58.3
Europe,The Netherlands,,Amsterdam,9,7,1995,60.6
Europe,The Netherlands,,Amsterdam,9,8,1995,60.4
Europe,The Netherlands,,Amsterdam,9,9,1995,61.4
Europe,The Netherlands,,Amsterdam,9,10,1995,62.8
Europe,The Netherlands,,Amsterdam,9,11,1995,61.1
Europe,The Netherlands,,Amsterdam,9,12,1995,59.3
Europe,The Netherlands,,Amsterdam,9,13,1995,59.1
Europe,The Netherlands,,Amsterdam,9,14,1995,57.8
Europe,The Netherlands,,Amsterdam,9,15,1995,58
Europe,The Netherlands,,Amsterdam,9,16,1995,58.1
Europe,The Netherlands,,Amsterdam,9,17,1995,59
Europe,The Netherlands,,Amsterdam,9,18,1995,61.5
Europe,The Netherlands,,Amsterdam,9,19,1995,61.3
Europe,The Netherlands,,Amsterdam,9,20,1995,57.1
Europe,The Netherlands,,Amsterdam,9,21,1995,56
Europe,The Netherlands,,Amsterdam,9,22,1995,58.4
Europe,The Netherlands,,Amsterdam,9,23,1995,58
Europe,The Netherlands,,Amsterdam,9,24,1995,56.1
Europe,The Netherlands,,Amsterdam,9,25,1995,56.2
Europe,The Netherlands,,Amsterdam,9,26,1995,57
Europe,The Netherlands,,Amsterdam,9,27,1995,54.5
Europe,The Netherlands,,Amsterdam,9,28,1995,49
Europe,The Netherlands,,Amsterdam,9,29,1995,52.7
Europe,The Netherlands,,Amsterdam,9,30,1995,50
Europe,The Netherlands,,Amsterdam,10,1,1995,53.9
Europe,The Netherlands,,Amsterdam,10,2,1995,54.6
Europe,The Netherlands,,Amsterdam,10,3,1995,58.1
Europe,The Netherlands,,Amsterdam,10,4,1995,61.9
Europe,The Netherlands,,Amsterdam,10,5,1995,57.4
