Region,Country,State,City,Month,Day,Year,AvgTemperature,Date
Europe,The Netherlands,,Amsterdam,1,1,1995,37.6,1995-01-01
Europe,The Netherlands,,Amsterdam,1,2,1995,38.6,1995-01-02
Europe,The Netherlands,,Amsterdam,1,3,1995,33.3,1995-01-03
Europe,The Netherlands,,Amsterdam,1,4,1995,29.2,1995-01-04
Europe,The Netherlands,,Amsterdam,1,5,1995,25.8,1995-01-05
Europe,The Netherlands,,Amsterdam,1,6,1995,27.1,1995-01-06
Europe,The Netherlands,,Amsterdam,1,7,1995,30.4,1995-01-07
Europe,The Netherlands,,Amsterdam,1,8,1995,33.6,1995-01-08
Europe,The Netherlands,,Amsterdam,1,9,1995,42.4,1995-01-09
Europe,The Netherlands,,Amsterdam,1,10,1995,41.9,1995-01-10
Europe,The Netherlands,,Amsterdam,1,11,1995,38.7,1995-01-11
Europe,The Netherlands,,Amsterdam,1,12,1995,38.7,1995-01-12
Europe,The Netherlands,,Amsterdam,1,13,1995,39,1995-01-13
Europe,The Netherlands,,Amsterdam,1,14,1995,43.7,1995-01-14
Europe,The Netherlands,,Amsterdam,1,15,1995,46.3,1995-01-15
Europe,The Netherlands,,Amsterdam,1,16,1995,40.5,1995-01-16
Europe,The Netherlands,,Amsterdam,1,17,1995,41.5,1995-01-17
Europe,The Netherlands,,Amsterdam,1,18,1995,43.6,1995-01-18
Europe,The Netherlands,,Amsterdam,1,19,1995,40.3,1995-01-19
Europe,The Netherlands,,Amsterdam,1,20,1995,46.4,1995-01-20
Europe,The Netherlands,,Amsterdam,1,21,1995,42.2,1995-01-21
Europe,The Netherlands,,Amsterdam,1,22,1995,44.1,1995-01-22
Europe,The Netherlands,,Amsterdam,1,23,1995,43.9,1995-01-23
Europe,The Netherlands,,Amsterdam,1,24,1995,43.4,1995-01-24
Europe,The Netherlands,,Amsterdam,1,25,1995,41,1995-01-25
Europe,The Netherlands,,Amsterdam,1,26,1995,46.5,1995-01-26
Europe,The Netherlands,,Amsterdam,1,27,1995,37.4,1995-01-27
Europe,The Netherlands,,Amsterdam,1,28,1995,47.2,1995-01-28
Europe,The Netherlands,,Amsterdam,1,29,1995,46,1995-01-29
Europe,The Netherlands,,Amsterdam,1,30,1995,38.1,1995-01-30
Europe,The Netherlands,,Amsterdam,1,31,1995,38.5,1995-01-31
Europe,The Netherlands,,Amsterdam,2,1,1995,49.6,1995-02-01
Europe,The Netherlands,,Amsterdam,2,2,1995,42.2,1995-02-02
Europe,The Netherlands,,Amsterdam,2,3,1995,42.6,1995-02-03
Europe,The Netherlands,,Amsterdam,2,4,1995,46.7,1995-02-04
Europe,The Netherlands,,Amsterdam,2,5,1995,43.7,1995-02-05
Europe,The Netherlands,,Amsterdam,2,6,1995,48.6,1995-02-06
Europe,The Netherlands,,Amsterdam,2,7,1995,47.6,1995-02-07
Europe,The Netherlands,,Amsterdam,2,8,1995,39.9,1995-02-08
Europe,The Netherlands,,Amsterdam,2,9,1995,35.5,1995-02-09
Europe,The Netherlands,,Amsterdam,2,10,1995,36.4,1995-02-10
Europe,The Netherlands,,Amsterdam,2,11,1995,47.1,1995-02-11
Europe,The Netherlands,,Amsterdam,2,12,1995,47.9,1995-02-12
Europe,The Netherlands,,Amsterdam,2,13,1995,46.3,1995-02-13
Europe,The Netherlands,,Amsterdam,2,14,1995,46.7,1995-02-14
Europe,The Netherlands,,Amsterdam,2,15,1995,49.3,1995-02-15
Europe,The Netherlands,,Amsterdam,2,16,1995,47.5,1995-02-16
Europe,The Netherlands,,Amsterdam,2,17,1995,45.3,1995-02-17
Europe,The Netherlands,,Amsterdam,2,18,1995,43.1,1995-02-18
Europe,The Netherlands,,Amsterdam,2,19,1995,46.5,1995-02-19
Europe,The Netherlands,,Amsterdam,2,20,1995,47.1,1995-02-20
Europe,The Netherlands,,Amsterdam,2,21,1995,46.5,1995-02-21
Europe,The Netherlands,,Amsterdam,2,22,1995,43.6,1995-02-22
Europe,The Netherlands,,Amsterdam,2,23,1995,42.3,1995-02-23
Europe,The Netherlands,,Amsterdam,2,24,1995,39.9,1995-02-24
Europe,The Netherlands,,Amsterdam,2,25,1995,39.8,1995-02-25
Europe,The Netherlands,,Amsterdam,2,26,1995,38.2,1995-02-26
Europe,The Netherlands,,Amsterdam,2,27,1995,40.9,1995-02-27
Europe,The Netherlands,,Amsterdam,2,28,1995,49.6,1995-02-28
Europe,The Netherlands,,Amsterdam,3,1,1995,47.3,1995-03-01
Europe,The Netherlands,,Amsterdam,3,2,1995,40,1995-03-02
Europe,The Netherlands,,Amsterdam,3,3,1995,38.3,1995-03-03
Europe,The Netherlands,,Amsterdam,3,4,1995,36.3,1995-03-04
Europe,The Netherlands,,Amsterdam,3,5,1995,37.4,1995-03-05
Europe,The Netherlands,,Amsterdam,3,6,1995,40.3,1995-03-06
Europe,The Netherlands,,Amsterdam,3,7,1995,41.1,1995-03-07
Europe,The Netherlands,,Amsterdam,3,8,1995,40.5,1995-03-08
Europe,The Netherlands,,Amsterdam,3,9,1995,41.6,1995-03-09
Europe,The Netherlands,,Amsterdam,3,10,1995,43.2,1995-03-10
Europe,The Netherlands,,Amsterdam,3,11,1995,46.2,1995-03-11
Europe,The Netherlands,,Amsterdam,3,12,1995,45.8,1995-03-12
Europe,The Netherlands,,Amsterdam,3,13,1995,44.9,1995-03-13
Europe,The Netherlands,,Amsterdam,3,14,1995,39.4,1995-03-14
Europe,The Netherlands,,Amsterdam,3,15,1995,40.5,1995-03-15
Europe,The Netherlands,,Amsterdam,3,16,1995,42,1995-03-16
Europe,The Netherlands,,Amsterdam,3,17,1995,46.5,1995-03-17
Europe,The Netherlands,,Amsterdam,3,18,1995,46.2,1995-03-18
Europe,The Netherlands,,Amsterdam,3,19,1995,43.3,1995-03-19
Europe,The Netherlands,,Amsterdam,3,20,1995,41.7,1995-03-20
Europe,The Netherlands,,Amsterdam,3,21,1995,40.7,1995-03-21
Europe,The Netherlands,,Amsterdam,3,22,1995,39.6,1995-03-22
