Region,Country,State,City,Month,Day,Year,AvgTemperature
Asia,China,,Shanghai,1,1,1995,40.1
Asia,China,,Shanghai,1,2,1995,42.3
Asia,China,,Shanghai,1,3,1995,36.5
Asia,China,,Shanghai,1,4,1995,36.3
Asia,China,,Shanghai,1,5,1995,38.5
Asia,China,,Shanghai,1,6,1995,42.2
Asia,China,,Shanghai,1,7,1995,46.3
Asia,China,,Shanghai,1,8,1995,47.6
Asia,China,,Shanghai,1,9,1995,43.5
Asia,China,,Shanghai,1,10,1995,40.2
Asia,China,,Shanghai,1,11,1995,37.3
Asia,China,,Shanghai,1,12,1995,36
Asia,China,,Shanghai,1,13,1995,34.5
Asia,China,,Shanghai,1,14,1995,36.3
Asia,China,,Shanghai,1,15,1995,37.4
Asia,China,,Shanghai,1,16,1995,37.6
Asia,China,,Shanghai,1,17,1995,43.6
Asia,China,,Shanghai,1,18,1995,45
Asia,China,,Shanghai,1,19,1995,38.3
Asia,China,,Shanghai,1,20,1995,44.7
Asia,China,,Shanghai,1,21,1995,48.4
Asia,China,,Shanghai,1,22,1995,40.7
Asia,China,,Shanghai,1,23,1995,36.9
Asia,China,,Shanghai,1,24,1995,39.6
Asia,China,,Shanghai,1,25,1995,46
Asia,China,,Shanghai,1,26,1995,41.1
Asia,China,,Shanghai,1,27,1995,39
Asia,China,,Shanghai,1,28,1995,36.7
Asia,China,,Shanghai,1,29,1995,41
Asia,China,,Shanghai,1,30,1995,40.5
Asia,China,,Shanghai,1,31,1995,37
Asia,China,,Shanghai,2,1,1995,33.9
Asia,China,,Shanghai,2,2,1995,34.3
Asia,China,,Shanghai,2,3,1995,35
Asia,China,,Shanghai,2,4,1995,32.5
Asia,China,,Shanghai,2,5,1995,31.8
Asia,China,,Shanghai,2,6,1995,38.4
Asia,China,,Shanghai,2,7,1995,45.9
Asia,China,,Shanghai,2,8,1995,43.8
Asia,China,,Shanghai,2,9,1995,46.9
Asia,China,,Shanghai,2,10,1995,47.6
Asia,China,,Shanghai,2,11,1995,50.3
Asia,China,,Shanghai,2,12,1995,45.4
Asia,China,,Shanghai,2,13,1995,43
Asia,China,,Shanghai,2,14,1995,44.8
Asia,China,,Shanghai,2,15,1995,41.6
Asia,China,,Shanghai,2,16,1995,40.4
Asia,China,,Shanghai,2,17,1995,43.6
Asia,China,,Shanghai,2,18,1995,43.5
Asia,China,,Shanghai,2,19,1995,44.5
Asia,China,,Shanghai,2,20,1995,43
Asia,China,,Shanghai,2,21,1995,40.7
Asia,China,,Shanghai,2,22,1995,40.8
Asia,China,,Shanghai,2,23,1995,43.2
Asia,China,,Shanghai,2,24,1995,45.9
Asia,China,,Shanghai,2,25,1995,45.8
Asia,China,,Shanghai,2,26,1995,44.1
Asia,China,,Shanghai,2,27,1995,46.2
Asia,China,,Shanghai,2,28,1995,38.3
Asia,China,,Shanghai,3,1,1995,45.5
Asia,China,,Shanghai,3,2,1995,51.3
Asia,China,,Shanghai,3,3,1995,44.2
Asia,China,,Shanghai,3,4,1995,39.9
Asia,China,,Shanghai,3,5,1995,46.2
Asia,China,,Shanghai,3,6,1995,52.5
Asia,China,,Shanghai,3,7,1995,59.4
Asia,China,,Shanghai,3,8,1995,56.2
Asia,China,,Shanghai,3,9,1995,49.3
Asia,China,,Shanghai,3,10,1995,49.2
Asia,China,,Shanghai,3,11,1995,50.2
Asia,China,,Shanghai,3,12,1995,48
Asia,China,,Shanghai,3,13,1995,50.4
Asia,China,,Shanghai,3,14,1995,52.7
Asia,China,,Shanghai,3,15,1995,53.9
Asia,China,,Shanghai,3,16,1995,48.9
Asia,China,,Shanghai,3,17,1995,39.4
Asia,China,,Shanghai,3,18,1995,44.4
Asia,China,,Shanghai,3,19,1995,51.2
Asia,China,,Shanghai,3,20,1995,56.5
Asia,China,,Shanghai,3,21,1995,62.4
Asia,China,,Shanghai,3,22,1995,61
Asia,China,,Shanghai,3,23,1995,54.4
Asia,China,,Shanghai,3,24,1995,49.5
Asia,China,,Shanghai,3,25,1995,41.3
Asia,China,,Shanghai,3,26,1995,48.9
Asia,China,,Shanghai,3,27,1995,57.8
Asia,China,,Shanghai,3,28,1995,53.3
Asia,China,,Shanghai,3,29,1995,51.9
Asia,China,,Shanghai,3,30,1995,49.4
Asia,China,,Shanghai,3,31,1995,49.6
Asia,China,,Shanghai,4,1,1995,52
Asia,China,,Shanghai,4,2,1995,47.3
Asia,China,,Shanghai,4,3,1995,47.7
Asia,China,,Shanghai,4,4,1995,52.5
Asia,China,,Shanghai,4,5,1995,58.7
Asia,China,,Shanghai,4,6,1995,62.2
Asia,China,,Shanghai,4,7,1995,59.7
Asia,China,,Shanghai,4,8,1995,66.8
Asia,China,,Shanghai,4,9,1995,53.7
Asia,China,,Shanghai,4,10,1995,50.5
Asia,China,,Shanghai,4,11,1995,52.5
Asia,China,,Shanghai,4,12,1995,59.9
Asia,China,,Shanghai,4,13,1995,60.2
Asia,China,,Shanghai,4,14,1995,57.7
Asia,China,,Shanghai,4,15,1995,57.5
Asia,China,,Shanghai,4,16,1995,59.5
Asia,China,,Shanghai,4,17,1995,56.8
Asia,China,,Shanghai,4,18,1995,55.8
Asia,China,,Shanghai,4,19,1995,53.6
Asia,China,,Shanghai,4,20,1995,58.6
Asia,China,,Shanghai,4,21,1995,66.5
Asia,China,,Shanghai,4,22,1995,64.5
Asia,China,,Shanghai,4,23,1995,60
Asia,China,,Shanghai,4,24,1995,52.7
Asia,China,,Shanghai,4,25,1995,56.5
Asia,China,,Shanghai,4,26,1995,58.7
Asia,China,,Shanghai,4,27,1995,62.7
Asia,China,,Shanghai,4,28,1995,61.1
Asia,China,,Shanghai,4,29,1995,60.5
Asia,China,,Shanghai,4,30,1995,60.1
Asia,China,,Shanghai,5,1,1995,65.3
Asia,China,,Shanghai,5,2,1995,63.7
Asia,China,,Shanghai,5,3,1995,60.4
Asia,China,,Shanghai,5,4,1995,56.8
Asia,China,,Shanghai,5,5,1995,63
Asia,China,,Shanghai,5,6,1995,67
Asia,China,,Shanghai,5,7,1995,70.3
Asia,China,,Shanghai,5,8,1995,72.8
Asia,China,,Shanghai,5,9,1995,71.8
Asia,China,,Shanghai,5,10,1995,59.9
Asia,China,,Shanghai,5,11,1995,56.4
Asia,China,,Shanghai,5,12,1995,61.7
Asia,China,,Shanghai,5,13,1995,72.7
Asia,China,,Shanghai,5,14,1995,61.6
Asia,China,,Shanghai,5,15,1995,60.2
Asia,China,,Shanghai,5,16,1995,68.2
Asia,China,,Shanghai,5,17,1995,68.2
Asia,China,,Shanghai,5,18,1995,68.2
Asia,China,,Shanghai,5,19,1995,69.7
Asia,China,,Shanghai,5,20,1995,65.9
Asia,China,,Shanghai,5,21,1995,64.7
Asia,China,,Shanghai,5,22,1995,68.8
Asia,China,,Shanghai,5,23,1995,70.3
Asia,China,,Shanghai,5,24,1995,70.7
Asia,China,,Shanghai,5,25,1995,70.3
Asia,China,,Shanghai,5,26,1995,69.9
Asia,China,,Shanghai,5,27,1995,69.4
Asia,China,,Shanghai,5,28,1995,75
Asia,China,,Shanghai,5,29,1995,70.7
Asia,China,,Shanghai,5,30,1995,71.2
Asia,China,,Shanghai,5,31,1995,69.6
Asia,China,,Shanghai,6,1,1995,70.7
Asia,China,,Shanghai,6,2,1995,78.8
Asia,China,,Shanghai,6,3,1995,74.8
Asia,China,,Shanghai,6,4,1995,69.7
Asia,China,,Shanghai,6,5,1995,75
Asia,China,,Shanghai,6,6,1995,73.1
Asia,China,,Shanghai,6,7,1995,67.8
Asia,China,,Shanghai,6,8,1995,68
Asia,China,,Shanghai,6,9,1995,67.7
Asia,China,,Shanghai,6,10,1995,72
Asia,China,,Shanghai,6,11,1995,70.4
Asia,China,,Shanghai,6,12,1995,71
Asia,China,,Shanghai,6,13,1995,70.7
Asia,China,,Shanghai,6,14,1995,73.5
Asia,China,,Shanghai,6,15,1995,69.7
Asia,China,,Shanghai,6,16,1995,71.8
Asia,China,,Shanghai,6,17,1995,69.7
Asia,China,,Shanghai,6,18,1995,79.2
Asia,China,,Shanghai,6,19,1995,80.3
Asia,China,,Shanghai,6,20,1995,78.7
Asia,China,,Shanghai,6,21,1995,73.1
Asia,China,,Shanghai,6,22,1995,69.7
Asia,China,,Shanghai,6,23,1995,71.1
Asia,China,,Shanghai,6,24,1995,73.6
Asia,China,,Shanghai,6,25,1995,76.9
Asia,China,,Shanghai,6,26,1995,74.2
Asia,China,,Shanghai,6,27,1995,74.8
Asia,China,,Shanghai,6,28,1995,77.8
Asia,China,,Shanghai,6,29,1995,80.1
Asia,China,,Shanghai,6,30,1995,78.2
Asia,China,,Shanghai,7,1,1995,76.8
Asia,China,,Shanghai,7,2,1995,72.2
Asia,China,,Shanghai,7,3,1995,73.5
Asia,China,,Shanghai,7,4,1995,70.4
Asia,China,,Shanghai,7,5,1995,69.3
Asia,China,,Shanghai,7,6,1995,72.5
Asia,China,,Shanghai,7,7,1995,77.6
Asia,China,,Shanghai,7,8,1995,83.5
Asia,China,,Shanghai,7,9,1995,83.9
Asia,China,,Shanghai,7,10,1995,84.9
Asia,China,,Shanghai,7,11,1995,85.3
Asia,China,,Shanghai,7,12,1995,85.3
Asia,China,,Shanghai,7,13,1995,84.8
Asia,China,,Shanghai,7,14,1995,86
Asia,China,,Shanghai,7,15,1995,87.3
Asia,China,,Shanghai,7,16,1995,89.1
Asia,China,,Shanghai,7,17,1995,85.5
Asia,China,,Shanghai,7,18,1995,87.3
Asia,China,,Shanghai,7,19,1995,91.1
Asia,China,,Shanghai,7,20,1995,91.6
Asia,China,,Shanghai,7,21,1995,89.4
Asia,China,,Shanghai,7,22,1995,84.2
Asia,China,,Shanghai,7,23,1995,84.7
Asia,China,,Shanghai,7,24,1995,85.2
Asia,China,,Shanghai,7,25,1995,84
Asia,China,,Shanghai,7,26,1995,84.2
Asia,China,,Shanghai,7,27,1995,82.9
Asia,China,,Shanghai,7,28,1995,82.3
Asia,China,,Shanghai,7,29,1995,83.4
Asia,China,,Shanghai,7,30,1995,84.2
Asia,China,,Shanghai,7,31,1995,85
Asia,China,,Shanghai,8,1,1995,86.1
Asia,China,,Shanghai,8,2,1995,84.8
Asia,China,,Shanghai,8,3,1995,84.4
Asia,China,,Shanghai,8,4,1995,84.7
Asia,China,,Shanghai,8,5,1995,86.3
Asia,China,,Shanghai,8,6,1995,86.6
Asia,China,,Shanghai,8,7,1995,85.2
Asia,China,,Shanghai,8,8,1995,86.8
Asia,China,,Shanghai,8,9,1995,82.9
Asia,China,,Shanghai,8,10,1995,82.4
Asia,China,,Shanghai,8,11,1995,86.9
Asia,China,,Shanghai,8,12,1995,89.4
Asia,China,,Shanghai,8,13,1995,89.4
Asia,China,,Shanghai,8,14,1995,85.4
Asia,China,,Shanghai,8,15,1995,84.4
Asia,China,,Shanghai,8,16,1995,84.7
Asia,China,,Shanghai,8,17,1995,85.5
Asia,China,,Shanghai,8,18,1995,83.5
Asia,China,,Shanghai,8,19,1995,81.1
Asia,China,,Shanghai,8,20,1995,80.8
Asia,China,,Shanghai,8,21,1995,81.7
Asia,China,,Shanghai,8,22,1995,83.3
Asia,China,,Shanghai,8,23,1995,81.6
Asia,China,,Shanghai,8,24,1995,80.9
Asia,China,,Shanghai,8,25,1995,78.3
Asia,China,,Shanghai,8,26,1995,76.4
Asia,China,,Shanghai,8,27,1995,81.4
Asia,China,,Shanghai,8,28,1995,81.3
Asia,China,,Shanghai,8,29,1995,83.9
